Date,LEVEL,City,City_date,month,year,Month_year,mean_daily_level
2019-09-01,0.5465,Rigaud,Rigaud_2019-09-01,September,2019,Sep-19,0.544758333
2019-09-02,0.5437,Rigaud,Rigaud_2019-09-02,September,2019,Sep-19,0.542366667
2019-09-03,0.5394,Rigaud,Rigaud_2019-09-03,September,2019,Sep-19,0.5391375
2019-09-04,0.542,Rigaud,Rigaud_2019-09-04,September,2019,Sep-19,0.538195833
2019-09-05,0.5329,Rigaud,Rigaud_2019-09-05,September,2019,Sep-19,0.532634783
2019-09-06,0.5308,Rigaud,Rigaud_2019-09-06,September,2019,Sep-19,0.530141667
2019-09-07,0.5282,Rigaud,Rigaud_2019-09-07,September,2019,Sep-19,0.525433333
2019-09-08,0.5207,Rigaud,Rigaud_2019-09-08,September,2019,Sep-19,0.515566667
2019-09-09,0.5107,Rigaud,Rigaud_2019-09-09,September,2019,Sep-19,0.507041667
2019-09-10,0.5035,Rigaud,Rigaud_2019-09-10,September,2019,Sep-19,0.50186087
2019-09-11,0.5008,Rigaud,Rigaud_2019-09-11,September,2019,Sep-19,0.496558333
2019-09-12,0.4932,Rigaud,Rigaud_2019-09-12,September,2019,Sep-19,0.489083333
2019-09-13,0.4843,Rigaud,Rigaud_2019-09-13,September,2019,Sep-19,0.483930435
2019-09-14,0.4832,Rigaud,Rigaud_2019-09-14,September,2019,Sep-19,0.480054167
2019-09-15,0.4773,Rigaud,Rigaud_2019-09-15,September,2019,Sep-19,0.474495833
2019-09-16,0.4724,Rigaud,Rigaud_2019-09-16,September,2019,Sep-19,0.469191667
2019-09-17,0.4655,Rigaud,Rigaud_2019-09-17,September,2019,Sep-19,0.462079167
2019-09-18,0.4584,Rigaud,Rigaud_2019-09-18,September,2019,Sep-19,0.454708333
2019-09-19,0.4512,Rigaud,Rigaud_2019-09-19,September,2019,Sep-19,0.448570833
2019-09-20,0.4456,Rigaud,Rigaud_2019-09-20,September,2019,Sep-19,0.442954167
2019-09-21,0.4389,Rigaud,Rigaud_2019-09-21,September,2019,Sep-19,0.436541667
2019-09-22,0.4345,Rigaud,Rigaud_2019-09-22,September,2019,Sep-19,0.43285
2019-09-23,0.4319,Rigaud,Rigaud_2019-09-23,September,2019,Sep-19,0.4289125
2019-09-24,0.426,Rigaud,Rigaud_2019-09-24,September,2019,Sep-19,0.423370833
