Date,TEMPERATURE,City,City_date,month,year,Month_year,mean_daily_temperature
2019-09-01,9.131,Rigaud,Rigaud_2019-09-01,September,2019,September 2019,9.153625
2019-09-02,9.178,Rigaud,Rigaud_2019-09-02,September,2019,September 2019,9.198875
2019-09-03,9.222,Rigaud,Rigaud_2019-09-03,September,2019,September 2019,9.24316666666667
2019-09-04,9.266,Rigaud,Rigaud_2019-09-04,September,2019,September 2019,9.28725
2019-09-05,9.31,Rigaud,Rigaud_2019-09-05,September,2019,September 2019,9.33045833333333
2019-09-06,9.353,Rigaud,Rigaud_2019-09-06,September,2019,September 2019,9.37345833333333
2019-09-07,9.395,Rigaud,Rigaud_2019-09-07,September,2019,September 2019,9.415875
2019-09-08,9.438,Rigaud,Rigaud_2019-09-08,September,2019,September 2019,9.45833333333333
2019-09-09,9.48,Rigaud,Rigaud_2019-09-09,September,2019,September 2019,9.50020833333333
2019-09-10,9.521,Rigaud,Rigaud_2019-09-10,September,2019,September 2019,9.54141666666667
2019-09-11,9.563,Rigaud,Rigaud_2019-09-11,September,2019,September 2019,9.58191666666667
2019-09-12,9.603,Rigaud,Rigaud_2019-09-12,September,2019,September 2019,9.62191666666667
2019-09-13,9.642,Rigaud,Rigaud_2019-09-13,September,2019,September 2019,9.66108333333333
2019-09-14,9.681,Rigaud,Rigaud_2019-09-14,September,2019,September 2019,9.69929166666667
2019-09-15,9.719,Rigaud,Rigaud_2019-09-15,September,2019,September 2019,9.73683333333333
2019-09-16,9.756,Rigaud,Rigaud_2019-09-16,September,2019,September 2019,9.7735
2019-09-17,9.792,Rigaud,Rigaud_2019-09-17,September,2019,September 2019,9.80929166666667
2019-09-18,9.827,Rigaud,Rigaud_2019-09-18,September,2019,September 2019,9.84458333333333
2019-09-19,9.863,Rigaud,Rigaud_2019-09-19,September,2019,September 2019,9.87879166666667
2019-09-20,9.896,Rigaud,Rigaud_2019-09-20,September,2019,September 2019,9.912375
2019-09-21,9.929,Rigaud,Rigaud_2019-09-21,September,2019,September 2019,9.94491666666667
2019-09-22,9.961,Rigaud,Rigaud_2019-09-22,September,2019,September 2019,9.97629166666667
2019-09-23,9.993,Rigaud,Rigaud_2019-09-23,September,2019,September 2019,10.00675
2019-09-24,10.022,Rigaud,Rigaud_2019-09-24,September,2019,September 2019,10.0441818181818
2019-09-25,10.056,Rigaud,Rigaud_2019-09-25,September,2019,September 2019,10.067875
2019-09-26,10.081,Rigaud,Rigaud_2019-09-26,September,2019,September 2019,10.0939583333333
2019-09-27,10.108,Rigaud,Rigaud_2019-09-27,September,2019,September 2019,10.1203333333333
2019-09-28,10.133,Rigaud,Rigaud_2019-09-28,September,2019,September 2019,10.1458333333333
2019-09-29,10.159,Rigaud,Rigaud_2019-09-29,September,2019,September 2019,10.1707083333333
2019-09-30,10.183,Rigaud,Rigaud_2019-09-30,September,2019,September 2019,10.1948333333333
2019-09-01,6.866,Saint-Lazare,Saint-Lazare_2019-09-01,September,2019,September 2019,6.86795833333333
2019-09-02,6.87,Saint-Lazare,Saint-Lazare_2019-09-02,September,2019,September 2019,6.87241666666667
2019-09-03,6.875,Saint-Lazare,Saint-Lazare_2019-09-03,September,2019,September 2019,6.87670833333333
2019-09-04,6.879,Saint-Lazare,Saint-Lazare_2019-09-04,September,2019,September 2019,6.88116666666667
2019-09-05,6.883,Saint-Lazare,Saint-Lazare_2019-09-05,September,2019,September 2019,6.885625
2019-09-06,6.888,Saint-Lazare,Saint-Lazare_2019-09-06,September,2019,September 2019,6.89029166666667
2019-09-07,6.893,Saint-Lazare,Saint-Lazare_2019-09-07,September,2019,September 2019,6.89470833333333
2019-09-08,6.897,Saint-Lazare,Saint-Lazare_2019-09-08,September,2019,September 2019,6.8995
2019-09-09,6.902,Saint-Lazare,Saint-Lazare_2019-09-09,September,2019,September 2019,6.90420833333333
2019-09-10,6.907,Saint-Lazare,Saint-Lazare_2019-09-10,September,2019,September 2019,6.909
2019-09-11,6.912,Saint-Lazare,Saint-Lazare_2019-09-11,September,2019,September 2019,6.91395833333333
2019-09-12,6.917,Saint-Lazare,Saint-Lazare_2019-09-12,September,2019,September 2019,6.91895833333333
2019-09-13,6.921,Saint-Lazare,Saint-Lazare_2019-09-13,September,2019,September 2019,6.923875
2019-09-14,6.926,Saint-Lazare,Saint-Lazare_2019-09-14,September,2019,September 2019,6.929125
2019-09-15,6.932,Saint-Lazare,Saint-Lazare_2019-09-15,September,2019,September 2019,6.93408333333333
2019-09-16,6.937,Saint-Lazare,Saint-Lazare_2019-09-16,September,2019,September 2019,6.93920833333333
2019-09-17,6.942,Saint-Lazare,Saint-Lazare_2019-09-17,September,2019,September 2019,6.944375
2019-09-18,6.947,Saint-Lazare,Saint-Lazare_2019-09-18,September,2019,September 2019,6.949625
2019-09-19,6.952,Saint-Lazare,Saint-Lazare_2019-09-19,September,2019,September 2019,6.95508333333333
2019-09-20,6.957,Saint-Lazare,Saint-Lazare_2019-09-20,September,2019,September 2019,6.96041666666667
2019-09-21,6.963,Saint-Lazare,Saint-Lazare_2019-09-21,September,2019,September 2019,6.96566666666667
2019-09-22,6.969,Saint-Lazare,Saint-Lazare_2019-09-22,September,2019,September 2019,6.971125
2019-09-23,6.974,Saint-Lazare,Saint-Lazare_2019-09-23,September,2019,September 2019,6.97645833333333
2019-09-24,6.979,Saint-Lazare,Saint-Lazare_2019-09-24,September,2019,September 2019,6.98395
2019-09-25,6.986,Saint-Lazare,Saint-Lazare_2019-09-25,September,2019,September 2019,6.98841666666667
2019-09-26,6.991,Saint-Lazare,Saint-Lazare_2019-09-26,September,2019,September 2019,6.9935
2019-09-27,6.996,Saint-Lazare,Saint-Lazare_2019-09-27,September,2019,September 2019,6.99929166666667
2019-09-28,7.002,Saint-Lazare,Saint-Lazare_2019-09-28,September,2019,September 2019,7.005
2019-09-29,7.008,Saint-Lazare,Saint-Lazare_2019-09-29,September,2019,September 2019,7.01070833333333
2019-09-30,7.014,Saint-Lazare,Saint-Lazare_2019-09-30,September,2019,September 2019,7.01625
2019-10-01,10.207,Rigaud,Rigaud_2019-10-01,October,2019,October 2019,10.21825
2019-10-02,10.23,Rigaud,Rigaud_2019-10-02,October,2019,October 2019,10.2410416666667
2019-10-03,10.253,Rigaud,Rigaud_2019-10-03,October,2019,October 2019,10.2634583333333
2019-10-04,10.275,Rigaud,Rigaud_2019-10-04,October,2019,October 2019,10.2862916666667
2019-10-05,10.298,Rigaud,Rigaud_2019-10-05,October,2019,October 2019,10.3084583333333
2019-10-06,10.319,Rigaud,Rigaud_2019-10-06,October,2019,October 2019,10.3302083333333
2019-10-07,10.341,Rigaud,Rigaud_2019-10-07,October,2019,October 2019,10.35175
2019-10-08,10.363,Rigaud,Rigaud_2019-10-08,October,2019,October 2019,10.3725
2019-10-09,10.383,Rigaud,Rigaud_2019-10-09,October,2019,October 2019,10.3925
