Date,Time,ms,LEVEL,TEMPERATURE
2019-01-01,0:00:00,0,0.9485,8.725
2019-01-01,1:00:00,0,0.9482,8.723
2019-01-01,2:00:00,0,0.9441,8.719
2019-01-01,3:00:00,0,0.9482,8.714
2019-01-01,4:00:00,0,0.9479,8.712
2019-01-01,5:00:00,0,0.9456,8.709
2019-01-01,6:00:00,0,0.9388,8.706
2019-01-01,7:00:00,0,0.9297,8.704
2019-01-01,8:00:00,0,0.9252,8.701
2019-01-01,9:00:00,0,0.9214,8.697
2019-01-01,10:00:00,0,0.9178,8.694
2019-01-01,11:00:00,0,0.9187,8.691
2019-01-01,12:00:00,0,0.9187,8.687
2019-01-01,13:00:00,0,0.9222,8.685
2019-01-01,14:00:00,0,0.9236,8.684
2019-01-01,15:00:00,0,0.9218,8.681
2019-01-01,16:00:00,0,0.9228,8.678
2019-01-01,17:00:00,0,0.9247,8.675
2019-01-01,18:00:00,0,0.9297,8.673
2019-01-01,19:00:00,0,0.9289,8.67
2019-01-01,20:00:00,0,0.9323,8.668
2019-01-01,21:00:00,0,0.9348,8.664
2019-01-01,22:00:00,0,0.9389,8.662
2019-01-01,23:00:00,0,0.9389,8.658
2019-01-02,0:00:00,0,0.9412,8.656
2019-01-02,1:00:00,0,0.9428,8.651
2019-01-02,2:00:00,0,0.9403,8.649
2019-01-02,3:00:00,0,0.9415,8.646
2019-01-02,4:00:00,0,0.9429,8.642
2019-01-02,5:00:00,0,0.943,8.64
2019-01-02,6:00:00,0,0.9415,8.636
2019-01-02,7:00:00,0,0.942,8.634
2019-01-02,8:00:00,0,0.9417,8.631
2019-01-02,9:00:00,0,0.9402,8.628
2019-01-02,10:00:00,0,0.941,8.625
2019-01-02,11:00:00,0,0.9435,8.622
2019-01-02,12:00:00,0,0.9454,8.618
2019-01-02,13:00:00,0,0.9466,8.615
2019-01-02,14:00:00,0,0.9445,8.613
2019-01-02,15:00:00,0,0.9464,8.61
2019-01-02,16:00:00,0,0.9464,8.607
2019-01-02,17:00:00,0,0.9485,8.604
2019-01-02,18:00:00,0,0.9491,8.601
2019-01-02,19:00:00,0,0.9511,8.598
2019-01-02,20:00:00,0,0.9516,8.595
2019-01-02,21:00:00,0,0.9531,8.591
2019-01-02,22:00:00,0,0.9497,8.588
2019-01-02,23:00:00,0,0.9543,8.585
2019-01-03,0:00:00,0,0.9563,8.582
2019-01-03,1:00:00,0,0.956,8.58
2019-01-03,2:00:00,0,0.953,8.577
2019-01-03,3:00:00,0,0.954,8.573
2019-01-03,4:00:00,0,0.9559,8.57
2019-01-03,5:00:00,0,0.9535,8.567
2019-01-03,6:00:00,0,0.9499,8.565
2019-01-03,7:00:00,0,0.9498,8.561
2019-01-03,8:00:00,0,0.9461,8.559
2019-01-03,9:00:00,0,0.9459,8.556
2019-01-03,10:00:00,0,0.9453,8.554
2019-01-03,11:00:00,0,0.9456,8.552
2019-01-03,12:00:00,0,0.9506,8.549
2019-01-03,13:00:00,0,0.9452,8.545
2019-01-03,14:00:00,0,0.9449,8.543
2019-01-03,15:00:00,0,0.9451,8.54
2019-01-03,16:00:00,0,0.9424,8.537
2019-01-03,17:00:00,0,0.943,8.534
2019-01-03,18:00:00,0,0.943,8.532
2019-01-03,19:00:00,0,0.9436,8.529
2019-01-03,20:00:00,0,0.9435,8.527
2019-01-03,21:00:00,0,0.9435,8.524
2019-01-03,22:00:00,0,0.944,8.522
2019-01-03,23:00:00,0,0.9436,8.518
2019-01-04,0:00:00,0,0.9433,8.515
2019-01-04,1:00:00,0,0.9428,8.513
2019-01-04,2:00:00,0,0.9421,8.51
2019-01-04,3:00:00,0,0.9435,8.507
2019-01-04,4:00:00,0,0.9438,8.504
2019-01-04,5:00:00,0,0.942,8.501
2019-01-04,6:00:00,0,0.9414,8.499
2019-01-04,7:00:00,0,0.9417,8.496
2019-01-04,8:00:00,0,0.939,8.493
2019-01-04,9:00:00,0,0.9393,8.49
2019-01-04,10:00:00,0,0.9394,8.489
2019-01-04,11:00:00,0,0.9406,8.486
2019-01-04,12:00:00,0,0.9385,8.482
2019-01-04,13:00:00,0,0.9369,8.479
2019-01-04,14:00:00,0,0.9378,8.477
2019-01-04,15:00:00,0,0.9373,8.474
2019-01-04,16:00:00,0,0.9359,8.471
2019-01-04,17:00:00,0,0.9355,8.468
2019-01-04,18:00:00,0,0.9334,8.466
2019-01-04,19:00:00,0,0.9339,8.464
2019-01-04,20:00:00,0,0.9354,8.46
2019-01-04,21:00:00,0,0.9336,8.457
2019-01-04,22:00:00,0,0.9347,8.454
2019-01-04,23:00:00,0,0.9337,8.453
2019-01-05,0:00:00,0,0.9333,8.449
2019-01-05,1:00:00,0,0.9327,8.447
2019-01-05,2:00:00,0,0.9318,8.446
2019-01-05,3:00:00,0,0.9332,8.443
2019-01-05,4:00:00,0,0.9333,8.439
2019-01-05,5:00:00,0,0.9319,8.436
2019-01-05,6:00:00,0,0.9317,8.433
2019-01-05,7:00:00,0,0.9285,8.432
2019-01-05,8:00:00,0,0.9287,8.429
2019-01-05,9:00:00,0,0.9305,8.425
2019-01-05,10:00:00,0,0.9304,8.423
2019-01-05,11:00:00,0,0.9315,8.421
2019-01-05,12:00:00,0,0.9305,8.417
2019-01-05,13:00:00,0,0.93,8.415
2019-01-05,14:00:00,0,0.9313,8.413
2019-01-05,15:00:00,0,0.9279,8.41
2019-01-05,16:00:00,0,0.9279,8.408
2019-01-05,17:00:00,0,0.9272,8.402
2019-01-05,18:00:00,0,0.9229,8.401
2019-01-05,19:00:00,0,0.9229,8.399
2019-01-05,20:00:00,0,0.9254,8.396
2019-01-05,21:00:00,0,0.9247,8.391
2019-01-05,22:00:00,0,0.9246,8.391
2019-01-05,23:00:00,0,0.9235,8.388
2019-01-06,0:00:00,0,0.9266,8.385
2019-01-06,1:00:00,0,0.9233,8.381
2019-01-06,2:00:00,0,0.9218,8.378
2019-01-06,3:00:00,0,0.9222,8.379
2019-01-06,4:00:00,0,0.9225,8.373
2019-01-06,5:00:00,0,0.9203,8.371
2019-01-06,6:00:00,0,0.9175,8.367
2019-01-06,7:00:00,0,0.9161,8.365
2019-01-06,8:00:00,0,0.9122,8.362
2019-01-06,9:00:00,0,0.91,8.357
2019-01-06,10:00:00,0,0.9095,8.352
2019-01-06,11:00:00,0,0.9078,8.351
2019-01-06,12:00:00,0,0.9089,8.35
2019-01-06,13:00:00,0,0.9083,8.347
2019-01-06,14:00:00,0,0.9056,8.345
2019-01-06,15:00:00,0,0.9033,8.34
2019-01-06,16:00:00,0,0.9009,8.337
2019-01-06,17:00:00,0,0.8999,8.335
2019-01-06,18:00:00,0,0.8992,8.33
2019-01-06,19:00:00,0,0.8979,8.329
2019-01-06,20:00:00,0,0.8971,8.324
2019-01-06,21:00:00,0,0.8958,8.323
2019-01-06,22:00:00,0,0.8951,8.32
2019-01-06,23:00:00,0,0.8952,8.317
2019-01-07,0:00:00,0,0.8955,8.315
2019-01-07,1:00:00,0,0.8958,8.312
2019-01-07,2:00:00,0,0.8931,8.31
2019-01-07,3:00:00,0,0.895,8.307
2019-01-07,4:00:00,0,0.8948,8.303
2019-01-07,5:00:00,0,0.8952,8.303
2019-01-07,6:00:00,0,0.8925,8.3
2019-01-07,7:00:00,0,0.8923,8.294
2019-01-07,8:00:00,0,0.8939,8.294
2019-01-07,9:00:00,0,0.8924,8.293
2019-01-07,10:00:00,0,0.8974,8.289
2019-01-07,11:00:00,0,0.8952,8.288
2019-01-07,12:00:00,0,0.8994,8.287
2019-01-07,13:00:00,0,0.9008,8.279
2019-01-07,14:00:00,0,0.8975,8.283
2019-01-07,15:00:00,0,0.9047,8.281
2019-01-07,16:00:00,0,0.9031,8.272
2019-01-07,17:00:00,0,0.9039,8.275
2019-01-07,18:00:00,0,0.9076,8.275
2019-01-07,19:00:00,0,0.9086,8.272
2019-01-07,20:00:00,0,0.9108,8.266
2019-01-07,21:00:00,0,0.9121,8.27
2019-01-07,22:00:00,0,0.9087,8.261
2019-01-07,23:00:00,0,0.9156,8.264
2019-01-08,0:00:00,0,0.9216,8.261
2019-01-08,1:00:00,0,0.9205,8.26
2019-01-08,2:00:00,0,0.9194,8.256
2019-01-08,3:00:00,0,0.9225,8.257
2019-01-08,4:00:00,0,0.9226,8.251
2019-01-08,5:00:00,0,0.9207,8.253
2019-01-08,6:00:00,0,0.92,8.249
2019-01-08,7:00:00,0,0.9187,8.241
2019-01-08,8:00:00,0,0.918,8.244
2019-01-08,9:00:00,0,0.9159,8.242
2019-01-08,10:00:00,0,0.9146,8.239
2019-01-08,11:00:00,0,0.9183,8.235
2019-01-08,12:00:00,0,0.9173,8.226
2019-01-08,13:00:00,0,0.9174,8.23
2019-01-08,14:00:00,0,0.9165,8.23
2019-01-08,15:00:00,0,0.9169,8.225
2019-01-08,16:00:00,0,0.9181,8.223
2019-01-08,17:00:00,0,0.9165,8.222
2019-01-08,18:00:00,0,0.9167,8.214
2019-01-08,19:00:00,0,0.9183,8.214
2019-01-08,20:00:00,0,0.9184,8.21
