Date,Time,ms,LEVEL,TEMPERATURE
2019-01-01,0:00:00,0,2.8083,7.784
2019-01-01,1:00:00,0,2.8148,7.784
2019-01-01,2:00:00,0,2.8104,7.784
2019-01-01,3:00:00,0,2.8105,7.784
2019-01-01,4:00:00,0,2.8092,7.784
2019-01-01,5:00:00,0,2.8026,7.784
2019-01-01,6:00:00,0,2.7961,7.784
2019-01-01,7:00:00,0,2.7874,7.784
2019-01-01,8:00:00,0,2.7805,7.784
2019-01-01,9:00:00,0,2.7772,7.784
2019-01-01,10:00:00,0,2.7755,7.784
2019-01-01,11:00:00,0,2.7804,7.785
2019-01-01,12:00:00,0,2.7792,7.784
2019-01-01,13:00:00,0,2.783,7.784
2019-01-01,14:00:00,0,2.7742,7.784
2019-01-01,15:00:00,0,2.7772,7.784
2019-01-01,16:00:00,0,2.7731,7.784
2019-01-01,17:00:00,0,2.7749,7.784
2019-01-01,18:00:00,0,2.7804,7.784
2019-01-01,19:00:00,0,2.7795,7.784
2019-01-01,20:00:00,0,2.7804,7.785
2019-01-01,21:00:00,0,2.7821,7.784
2019-01-01,22:00:00,0,2.7843,7.785
2019-01-01,23:00:00,0,2.7784,7.784
2019-01-02,0:00:00,0,2.7821,7.784
2019-01-02,1:00:00,0,2.7797,7.784
2019-01-02,2:00:00,0,2.7786,7.784
2019-01-02,3:00:00,0,2.7792,7.784
2019-01-02,4:00:00,0,2.7811,7.785
2019-01-02,5:00:00,0,2.7796,7.785
2019-01-02,6:00:00,0,2.7796,7.784
2019-01-02,7:00:00,0,2.7868,7.784
2019-01-02,8:00:00,0,2.7807,7.785
2019-01-02,9:00:00,0,2.7859,7.785
2019-01-02,10:00:00,0,2.7862,7.785
2019-01-02,11:00:00,0,2.7855,7.785
2019-01-02,12:00:00,0,2.7793,7.785
2019-01-02,13:00:00,0,2.7834,7.785
2019-01-02,14:00:00,0,2.7808,7.784
2019-01-02,15:00:00,0,2.7811,7.785
2019-01-02,16:00:00,0,2.785,7.785
2019-01-02,17:00:00,0,2.7853,7.785
2019-01-02,18:00:00,0,2.7902,7.785
2019-01-02,19:00:00,0,2.7902,7.785
2019-01-02,20:00:00,0,2.7915,7.785
2019-01-02,21:00:00,0,2.7919,7.785
2019-01-02,22:00:00,0,2.7903,7.785
2019-01-02,23:00:00,0,2.7954,7.785
2019-01-03,0:00:00,0,2.7966,7.785
2019-01-03,1:00:00,0,2.7972,7.785
2019-01-03,2:00:00,0,2.7947,7.785
2019-01-03,3:00:00,0,2.7941,7.785
2019-01-03,4:00:00,0,2.7964,7.785
2019-01-03,5:00:00,0,2.7907,7.785
2019-01-03,6:00:00,0,2.7892,7.785
2019-01-03,7:00:00,0,2.7903,7.785
2019-01-03,8:00:00,0,2.7872,7.785
2019-01-03,9:00:00,0,2.7857,7.785
2019-01-03,10:00:00,0,2.7847,7.785
2019-01-03,11:00:00,0,2.7852,7.785
2019-01-03,12:00:00,0,2.7857,7.786
2019-01-03,13:00:00,0,2.7828,7.785
2019-01-03,14:00:00,0,2.7841,7.785
2019-01-03,15:00:00,0,2.7835,7.785
2019-01-03,16:00:00,0,2.7851,7.785
2019-01-03,17:00:00,0,2.7842,7.786
2019-01-03,18:00:00,0,2.7836,7.786
2019-01-03,19:00:00,0,2.7851,7.786
2019-01-03,20:00:00,0,2.7888,7.785
2019-01-03,21:00:00,0,2.7846,7.785
2019-01-03,22:00:00,0,2.7877,7.785
2019-01-03,23:00:00,0,2.787,7.786
2019-01-04,0:00:00,0,2.7841,7.785
2019-01-04,1:00:00,0,2.7844,7.786
2019-01-04,2:00:00,0,2.7848,7.786
2019-01-04,3:00:00,0,2.7825,7.785
2019-01-04,4:00:00,0,2.7872,7.786
2019-01-04,5:00:00,0,2.7839,7.786
2019-01-04,6:00:00,0,2.7847,7.785
2019-01-04,7:00:00,0,2.7841,7.786
2019-01-04,8:00:00,0,2.7824,7.786
2019-01-04,9:00:00,0,2.7835,7.786
2019-01-04,10:00:00,0,2.7844,7.786
2019-01-04,11:00:00,0,2.7839,7.786
2019-01-04,12:00:00,0,2.7799,7.786
2019-01-04,13:00:00,0,2.7827,7.786
2019-01-04,14:00:00,0,2.782,7.786
2019-01-04,15:00:00,0,2.7827,7.786
2019-01-04,16:00:00,0,2.7829,7.786
2019-01-04,17:00:00,0,2.7824,7.787
2019-01-04,18:00:00,0,2.7824,7.786
2019-01-04,19:00:00,0,2.7831,7.786
2019-01-04,20:00:00,0,2.7819,7.786
2019-01-04,21:00:00,0,2.7827,7.786
2019-01-04,22:00:00,0,2.7849,7.786
2019-01-04,23:00:00,0,2.7845,7.786
2019-01-05,0:00:00,0,2.7834,7.786
2019-01-05,1:00:00,0,2.7827,7.786
2019-01-05,2:00:00,0,2.7827,7.786
2019-01-05,3:00:00,0,2.784,7.786
2019-01-05,4:00:00,0,2.7851,7.786
2019-01-05,5:00:00,0,2.7833,7.786
2019-01-05,6:00:00,0,2.783,7.786
2019-01-05,7:00:00,0,2.7787,7.786
2019-01-05,8:00:00,0,2.7809,7.786
2019-01-05,9:00:00,0,2.7834,7.787
2019-01-05,10:00:00,0,2.7814,7.786
2019-01-05,11:00:00,0,2.783,7.787
2019-01-05,12:00:00,0,2.7806,7.786
2019-01-05,13:00:00,0,2.7805,7.787
2019-01-05,14:00:00,0,2.7808,7.786
2019-01-05,15:00:00,0,2.7798,7.787
2019-01-05,16:00:00,0,2.7831,7.787
2019-01-05,17:00:00,0,2.7786,7.787
2019-01-05,18:00:00,0,2.7757,7.786
2019-01-05,19:00:00,0,2.7754,7.786
2019-01-05,20:00:00,0,2.7808,7.786
2019-01-05,21:00:00,0,2.7808,7.786
2019-01-05,22:00:00,0,2.7805,7.787
2019-01-05,23:00:00,0,2.7813,7.787
2019-01-06,0:00:00,0,2.7776,7.787
2019-01-06,1:00:00,0,2.7792,7.787
2019-01-06,2:00:00,0,2.7783,7.787
2019-01-06,3:00:00,0,2.7778,7.786
2019-01-06,4:00:00,0,2.7792,7.787
2019-01-06,5:00:00,0,2.7786,7.786
2019-01-06,6:00:00,0,2.7738,7.787
2019-01-06,7:00:00,0,2.7731,7.786
2019-01-06,8:00:00,0,2.7695,7.787
2019-01-06,9:00:00,0,2.7689,7.787
2019-01-06,10:00:00,0,2.7683,7.787
