"","City","Month","Sample_type","Date","DIC","DOC","NO2","NO3","NH4","Water.level","T","pH","OD","Sequencing_run","is.neg"
"R-01-gw","R","Sep","Groundwater","24-Sep-19","60.9","1.1","0.002","1.16","0.024","4.57","7.26","10.2","3.8","1","FALSE"
"R-01-R","R","Sep","River","24-Sep-19","60.3","5.6","0.004","0.15","0.016","","7.78","15.6","83.7","1","FALSE"
"R-01-S-00-bac","R","Sep","Soil","09-Sep-19","","","","","","","","","","1","FALSE"
"R-02-gw","R","Oct","Groundwater","23-Oct-19","67.2","1","0.003","5.52","0.019","4.37","7","10.7","11","1","FALSE"
"R-02-R","R","Oct","River","23-Oct-19","21.4","9.3","0.006","1.47","0.014","","7.78","11","83.5","1","FALSE"
"R-02-S-00-bac","R","Oct","Soil","23-Oct-19","","","","","","","","","","1","FALSE"
"R-03-gw","R","Nov","Groundwater","20-Nov-19","67.2","1.1","0.001","9.35","0.03","4.07","7.01","10","11","1","FALSE"
"R-03-R","R","Nov","River","20-Nov-19","25.1","3","0.004","0.46","0.023","","7.05","1.8","82.6","1","FALSE"
"R-03-S-00-bac","R","Nov","Soil","20-Nov-19","","","","","","","","","","1","FALSE"
"R-03-sn","R","Nov","Snow","20-Nov-19","","","","","","","","","","1","FALSE"
"R-04-gw","R","Dec","Groundwater","11-Dec-19","67.17","1.21","-0.001","7.943","0.006","4.1","6.98","9.6","19.6","1","FALSE"
"R-04-R","R","Dec","River","11-Dec-19","25.74","3.41","0","0.96","0.022","","6.7","0.2","88.6","1","FALSE"
"R-04-S-00-bac","R","Dec","Soil","11-Dec-19","","","","","","","","","","1","FALSE"
"R-05-gw","R","Jan","Groundwater","14-Jan-20","65.1","1.2","0","5.845","0.001","6.4","6.79","8","3.12","2","FALSE"
"R-05-R","R","Jan","River","14-Jan-20","13.5","3","0.001","0.572","0.005","","7.01","0.2","88.3","2","FALSE"
"R-05-sn","R","Jan","Snow","14-Jan-20","","","","","","","","","","2","FALSE"
"R-06-gw","R","Feb","Groundwater","13-Feb-20","68.2","1.8","0","4.179","0","3.73","7.03","7.7","3.7","2","FALSE"
"R-06-sn","R","Feb","Snow","13-Feb-20","","","","","","","","","","2","FALSE"
"R-07-gw","R","Mar","Groundwater","16-Mar-20","107.5","1.2","0.0446","6.69463","0.01","3.3","7.03","6.2","30.5","2","FALSE"
"R-07-sn","R","Mar","Snow","16-Mar-20","","","","","","","","","","2","FALSE"
"R-08-gw","R","Apr","Groundwater","15-Apr-20","58.5","0.2","-0.001","4.736","0.02","2.75","6.98","5.3","45.7","2","FALSE"
"R-08-R","R","Apr","River","15-Apr-20","16","2.8","0","0.647","0.01","","7.26","4.5","95.7","2","FALSE"
"R-08-S-00-bac","R","Apr","Soil","15-Apr-20","","","","","","","","","","3","FALSE"
"R-09-gw","R","May","Groundwater","18-May-20","65.4","0.5","-0.001","6.194","0.01","3.5","6.84","7","18.5","2","FALSE"
"R-09-R","R","May","River","18-May-20","26.1","2.2","0.003","0.615","0.02","","7.4","11.3","104.7","2","FALSE"
"R-09-S-00-bac","R","May","Soil","18-May-20","","","","","","","","","","2","FALSE"
"R-10-gw","R","June","Groundwater","17-Jun-20","68.1","0","0.00556","6.55656","0.008","3.94","7.01","8.2","18.8","2","FALSE"
"R-10-R","R","June","River","17-Jun-20","33.8","3.7","0.02479","0.69997","0.052","","7.41","19","94.8","2","FALSE"
"R-10-S-00-bac","R","June","Soil","17-Jun-20","","","","","","","","","","3","FALSE"
"R-11-gw","R","July","Groundwater","15-Jul-20","68.3","0.9","0.00507","2.63996","0.004","4.26","7.2","8.65","36.7","2","FALSE"
"R-11-R","R","July","River","15-Jul-20","33.7","9.7","0.01253","0.24994","0.02","","7.75","19.48","84.2","2","FALSE"
"R-11-S-00-bac","R","July","Soil","15-Jul-20","","","","","","","","","","3","FALSE"
"R-12-gw","R","Aug","Groundwater","17-Aug-20","60.4","0.6","0.01","1.179","0.003","4.37","7","9.6","9.7","2","FALSE"
"R-12-R","R","Aug","River","17-Aug-20","54.4","7.1","0.003","0.153","0.085","","7.42","19.6","50.2","2","FALSE"
"R-12-S-00-bac","R","Aug","Soil","17-Aug-20","","","","","","","","","","3","FALSE"
"SL-01-dF","SL","Sep","Discharge-Forest","24-Sep-19","2.4","0.7","0.002756","0.0091815","0.002194","","","","","1","FALSE"
"SL-01-dR2","SL","Sep","Discharge-River-B","24-Sep-19","2.6","1.6","0.003435","0.014273","0.007511","","","","","1","FALSE"
"SL-01-gw","SL","Sep","Groundwater","24-Sep-19","2.1","0.5","0.003242","0.042338","0.0099595","6.38","6.19","7.9","101.2","1","FALSE"
"SL-01-R","SL","Sep","River","24-Sep-19","22.5","4","0.007621","0.145018","0.0263945","","7.62","14","89.9","1","FALSE"
"SL-01-S-00-bac","SL","Sep","Soil","24-Sep-19","","","","","","","","","","1","FALSE"
"SL-02-dF","SL","Oct","Discharge-Forest","23-Oct-19","3.6","1.1","0.002682","0.008936","0.014351","","","","","1","FALSE"
"SL-02-dR2","SL","Oct","Discharge-River-B","23-Oct-19","1.6","2.1","0.002725","0.012098","0.017745","","","","","1","FALSE"
"SL-02-gw","SL","Oct","Groundwater","23-Oct-19","2.3","0.5","0.003351","0.053411","0.006519","6.5","5.97","8","100.5","1","FALSE"
"SL-02-R","SL","Oct","River","23-Oct-19","15.2","17.3","0.007536","0.10772","0.0364535","","6.98","9.9","87.7","1","FALSE"
"SL-02-S-00-bac","SL","Oct","Soil","23-Oct-19","","","","","","","","","","1","FALSE"
"SL-03-dR2","SL","Nov","Discharge-River-B","20-Nov-19","2.2","2.2","0.002197","0.013706","0.030086","","","","","1","FALSE"
"SL-03-gw","SL","Nov","Groundwater","20-Nov-19","2","0.3","0.001532","0.049318","0.0023335","6.36","5.94","7.4","89.9","1","FALSE"
"SL-03-R","SL","Nov","River","20-Nov-19","19.1","10.3","0.005366","0.172029","0.073414","","7.17","3.1","88.6","1","FALSE"
"SL-03-S-00-bac","SL","Nov","Soil","20-Nov-19","","","","","","","","","","1","FALSE"
"SL-03-sn","SL","Nov","Snow","20-Nov-19","","","","","","","","","","1","FALSE"
"SL-04-dR2","SL","Dec","Discharge-River-B","11-Dec-19","15.52","13.99","0.003223","0.171403","0.0760515","","7.09","0.4","89.5","1","FALSE"
"SL-04-gw","SL","Dec","Groundwater","11-Dec-19","2.52","0.57","0.001093","0.047544","-0.000251","6.45","5.79","7.2","101.7","1","FALSE"
"SL-04-R","SL","Dec","River","11-Dec-19","15.52","13.99","0.003223","0.171403","0.0760515","","7.09","0.4","89.5","1","FALSE"
"SL-04-S-00-bac","SL","Dec","Soil","11-Dec-19","","","","","","","","","","1","FALSE"
"SL-05-gw","SL","Jan","Groundwater","14-Jan-20","1.9","0.5","0.000175","0.0474","-0.001445","7.18","6.01","5.3","103.5","2","FALSE"
"SL-05-R","SL","Jan","River","14-Jan-20","11.9","12.4","0.003197","0.224152","0.0528985","","6.72","0.4","92.7","2","FALSE"
"SL-05-sn","SL","Jan","Snow","14-Jan-20","","","","","","","","","","2","FALSE"
"SL-06-gw","SL","Feb","Groundwater","13-Feb-20","2.2","0","0.000498","0.049331","0.0067865","6.43","5.85","7.02","100","2","FALSE"
"SL-06-sn","SL","Feb","Snow","13-Feb-20","","","","","","","","","","2","FALSE"
"SL-07-gw","SL","Mar","Groundwater","16-Mar-20","5","0.6","0.00227","0.04923","0.000148","6.36","5.95","7.1","99.3","2","FALSE"
"SL-07-R","SL","Mar","River","16-Mar-20","12.8","11.8","0.00643","0.1625","0.0942075","","","","","2","FALSE"
"SL-07-sn","SL","Mar","Snow","16-Mar-20","","","","","","","","","","2","FALSE"
"SL-08-dF","SL","Apr","Discharge-Forest","15-Apr-20","3.3","1.3","0.000331","0.004371","0.004744","","","","","2","FALSE"
"SL-08-dR1","SL","Apr","Discharge-River","15-Apr-20","1.6","3.5","0.001031","0.013243","0.008819","","","","","2","FALSE"
"SL-08-gw","SL","Apr","Groundwater","15-Apr-20","2.6","0","-0.001137","0.081481","0.013191","5.86","6.45","5.5","101","2","FALSE"
"SL-08-R","SL","Apr","River","15-Apr-20","11.4","14.6","0.004187","0.206625","0.0521","","7.01","4.5","91.1","2","FALSE"
"SL-08-S-00-bac","SL","Apr","Soil","15-Apr-20","","","","","","","","","","3","FALSE"
"SL-09-dF","SL","May","Discharge-Forest","18-May-20","3.2","0.5","0.000319","0.020303","0.008214","","","","","2","FALSE"
"SL-09-dR1","SL","May","Discharge-River","18-May-20","1.6","1","0.000188","0.010613","0.1278465","","","","","2","FALSE"
"SL-09-gw","SL","May","Groundwater","18-May-20","2.6","0","0.001085","0.065139","0.0660285","5.75","5.96","9.5","100.7","2","FALSE"
"SL-09-R","SL","May","River","18-May-20","17.3","13.3","0.00663","0.153769","0.0326775","","7.39","12.4","103.7","2","FALSE"
"SL-09-S-00-bac","SL","May","Soil","18-May-20","","","","","","","","","","3","FALSE"
