analysis_id,September to october ,Env,SourceSink,id
sep-oct,SampleID,Env,SourceSink,id
sep-oct,R-02-R,Oct. river,sink,2
sep-oct,R-01-R,Sep. river,source,2
sep-oct,R-01-gw,Sep. groundwater,source,2
sep-oct,SL-02-R,Oct. river,sink,1
sep-oct,SL-01-R,Sep. river,source,1
sep-oct,SL-01-gw,Sep. groundwater,source,1
sep-oct,SL-01-dF,Sep. discharge-forest,source,1
sep-oct,SL-01-dR2,Sep. discharge-river-B,source,1
,,,,
,October to november,,,
oct-nov,SampleID,Env,SourceSink,id
oct-nov,R-03-R,Nov. river,sink,2
oct-nov,R-02-R,Oct. river,source,2
oct-nov,R-01-R,Sep. river,source,2
oct-nov,R-01-gw,Sep. groundwater,source,2
oct-nov,R-02-gw,Oct. groundwater,source,2
oct-nov,SL-03-R,Nov. river,sink,1
oct-nov,SL-02-R,Oct. river,source,1
oct-nov,SL-01-R,Sep. river,source,1
oct-nov,SL-01-gw,Sep. groundwater,source,1
oct-nov,SL-02-gw,Oct. groundwater,source,1
oct-nov,SL-01-dF,Sep. discharge-forest,source,1
oct-nov,SL-01-dR2,Sep. discharge-river-B,source,1
oct-nov,SL-02-dF,Oct. discharge-forest,source,1
oct-nov,SL-02-dR2,Oct. discharge-river-B,source,1
,,,,
,November to december,,,
nov-dec,SampleID,Env,SourceSink,id
nov-dec,R-04-R,Dec. river,sink,2
nov-dec,R-03-R,Nov. river,source,2
nov-dec,R-02-R,Oct. river,source,2
nov-dec,R-01-R,Sep. river,source,2
nov-dec,R-01-gw,Sep. groundwater,source,2
nov-dec,R-02-gw,Oct. groundwater,source,2
nov-dec,R-03-gw,Nov. groundwater,source,2
nov-dec,R-03-sn,Nov. snow,source,2
nov-dec,SL-04-R,Dec. river,sink,1
nov-dec,SL-03-R,Nov. river,source,1
nov-dec,SL-02-R,Oct. river,source,1
nov-dec,SL-01-R,Sep. river,source,1
nov-dec,SL-01-gw,Sep. groundwater,source,1
nov-dec,SL-02-gw,Oct. groundwater,source,1
nov-dec,SL-03-gw,Nov. groundwater,source,1
nov-dec,SL-03-sn,Nov. snow,source,1
nov-dec,SL-01-dF,Sep. discharge-forest,source,1
nov-dec,SL-01-dR2,Sep. discharge-river-B,source,1
nov-dec,SL-02-dF,Oct. discharge-forest,source,1
nov-dec,SL-02-dR2,Oct. discharge-river-B,source,1
nov-dec,SL-03-dR2,Nov. discharge-river-B,source,1
,,,,
,December to January,,,
dec-jan,SampleID,Env,SourceSink,id
dec-jan,R-05-R,Jan. river,sink,2
dec-jan,R-04-R,Dec. river,source,2
dec-jan,R-03-R,Nov. river,source,2
dec-jan,R-02-R,Oct. river,source,2
dec-jan,R-02-gw,Oct. groundwater,source,2
dec-jan,R-03-gw,Nov. groundwater,source,2
dec-jan,R-04-gw,Dec. groundwater,source,2
dec-jan,R-03-sn,Nov. snow,source,2
dec-jan,SL-05-R,Jan. river,sink,1
dec-jan,SL-04-R,Dec. river,source,1
dec-jan,SL-03-R,Nov. river,source,1
dec-jan,SL-02-R,Oct. river,source,1
dec-jan,SL-02-gw,Oct. groundwater,source,1
dec-jan,SL-03-gw,Nov. groundwater,source,1
dec-jan,SL-04-gw,Dec. groundwater,source,1
dec-jan,SL-03-sn,Nov. snow,source,1
dec-jan,SL-02-dF,Oct. discharge-forest,source,1
dec-jan,SL-02-dR2,Oct. discharge-river-B,source,1
dec-jan,SL-03-dR2,Nov. discharge-river-B,source,1
dec-jan,SL-04-dR2,Dec. discharge-river-B,source,1
,,,,
,,,,
,February to march,,,
feb-mar,SampleID,Env,SourceSink,id
feb-mar,SL-07-R,Mar. river,sink,1
feb-mar,SL-05-R,Jan. river,source,1
feb-mar,SL-04-R,Dec. river,source,1
feb-mar,SL-06-gw,Feb. groundwater,source,1
feb-mar,SL-05-gw,Jan. groundwater,source,1
feb-mar,SL-04-gw,Dec. groundwater,source,1
feb-mar,SL-03-sn,Nov. snow,source,1
feb-mar,SL-05-sn,Jan. snow,source,1
feb-mar,SL-06-sn,Feb. snow,source,1
,,,,
,March to april ,,,
mar-apr,SampleID,Env,SourceSink,id
