Sink,variable,value,City,Sources,Month,percentage,groups
May. river,Apr..river,0.122869170523252,Saint-Lazare,Apr. river,May,12.29%,river
May. river,Mar..river,0.0252002804648471,Saint-Lazare,Mar. river,May,2.52%,river
May. river,Apr..groundwater,1.17884278704473e-17,Saint-Lazare,Apr. groundwater,May,0.00%,groundwater
May. river,Mar..groundwater,0.00106220793044635,Saint-Lazare,Mar. groundwater,May,0.11%,groundwater
May. river,Feb..groundwater,0.00348108201652696,Saint-Lazare,Feb. groundwater,May,0.35%,groundwater
May. river,Mar..snow,4.46650797444702e-14,Saint-Lazare,Mar. snow,May,0.00%,snow
May. river,Feb..snow,0.000829448673918723,Saint-Lazare,Feb. snow,May,0.08%,snow
May. river,Unknown,0.846557810390964,Saint-Lazare,Unknown,May,84.66%,Unknown
Jan. river,Dec..river,0.497213070885785,Saint-Lazare,Dec. river,Jan.,49.72%,river
Jan. river,Nov..river,0.00822844296932667,Saint-Lazare,Nov. river,Jan.,0.82%,river
Jan. river,Oct..river,0.137258850316659,Saint-Lazare,Oct. river,Jan.,13.73%,river
Jan. river,Oct..groundwater,0.00682049389241655,Saint-Lazare,Oct. groundwater,Jan.,0.68%,groundwater
Jan. river,Nov..groundwater,0.00333740276004416,Saint-Lazare,Nov. groundwater,Jan.,0.33%,groundwater
Jan. river,Dec..groundwater,0.0384079637129343,Saint-Lazare,Dec. groundwater,Jan.,3.84%,groundwater
Jan. river,Nov..snow,0.00350162256596378,Saint-Lazare,Nov. snow,Jan.,0.35%,snow
Jan. river,Unknown,0.305232152896871,Saint-Lazare,Unknown,Jan.,30.52%,Unknown
Mar. river,Jan..river,0.141046267314317,Saint-Lazare,Jan. river,Mar.,14.10%,river
Mar. river,Dec..river,0.307713419190249,Saint-Lazare,Dec. river,Mar.,30.77%,river
Mar. river,Feb..groundwater,0.0174552370132915,Saint-Lazare,Feb. groundwater,Mar.,1.75%,groundwater
Mar. river,Jan..groundwater,0.015132633842175,Saint-Lazare,Jan. groundwater,Mar.,1.51%,groundwater
Mar. river,Dec..groundwater,0.00149444479535362,Saint-Lazare,Dec. groundwater,Mar.,0.15%,groundwater
Mar. river,Nov..snow,0.000408927368886604,Saint-Lazare,Nov. snow,Mar.,0.04%,snow
Mar. river,Jan..snow,0.00889480876776512,Saint-Lazare,Jan. snow,Mar.,0.89%,snow
Mar. river,Feb..snow,0.0195988825970826,Saint-Lazare,Feb. snow,Mar.,1.96%,snow
Mar. river,Unknown,0.488255379110879,Saint-Lazare,Unknown,Mar.,48.83%,Unknown
Aug. river,July..river,0.196138813018821,Saint-Lazare,July river,Aug.,19.61%,river
Aug. river,June..river,0.165949073497353,Saint-Lazare,June river,Aug.,16.59%,river
Aug. river,May..river,9.90892668763696e-05,Saint-Lazare,May river,Aug.,0.01%,river
Aug. river,July..groundwater,3.00006761192283e-65,Saint-Lazare,July groundwater,Aug.,0.00%,groundwater
Aug. river,June..groundwater,4.46757175586365e-124,Saint-Lazare,June groundwater,Aug.,0.00%,groundwater
Aug. river,May..groundwater,0.00949547494889826,Saint-Lazare,May groundwater,Aug.,0.95%,groundwater
Aug. river,Unknown,0.628317549268052,Saint-Lazare,Unknown,Aug.,62.83%,Unknown
