"","City","Month","Sample_type","Date","DIC","DOC","NO2","NO3","NH4","Water.level","T","pH","OD","Sequencing_run","is.neg"
"R-01-gw","R","Sep","Groundwater","24-Sep-19"," 60.90"," 1.10"," 0.002000","1.160000"," 0.0240000","4.57","7.26","10.20","  3.80","1","FALSE"
"R-01-R","R","Sep","River","24-Sep-19"," 60.30"," 5.60"," 0.004000","0.150000"," 0.0160000",NA,"7.78","15.60"," 83.70","1","FALSE"
"R-01-S-00-bac","R","Sep","Soil","09-Sep-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","FALSE"
"R-02-gw","R","Oct","Groundwater","23-Oct-19"," 67.20"," 1.00"," 0.003000","5.520000"," 0.0190000","4.37","7.00","10.70"," 11.00","1","FALSE"
"R-02-R","R","Oct","River","23-Oct-19"," 21.40"," 9.30"," 0.006000","1.470000"," 0.0140000",NA,"7.78","11.00"," 83.50","1","FALSE"
"R-02-S-00-bac","R","Oct","Soil","23-Oct-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","FALSE"
"R-03-gw","R","Nov","Groundwater","20-Nov-19"," 67.20"," 1.10"," 0.001000","9.350000"," 0.0300000","4.07","7.01","10.00"," 11.00","1","FALSE"
"R-03-R","R","Nov","River","20-Nov-19"," 25.10"," 3.00"," 0.004000","0.460000"," 0.0230000",NA,"7.05"," 1.80"," 82.60","1","FALSE"
"R-03-S-00-bac","R","Nov","Soil","20-Nov-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","FALSE"
"R-03-sn","R","Nov","Snow","20-Nov-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","FALSE"
"R-04-gw","R","Dec","Groundwater","11-Dec-19"," 67.17"," 1.21","-0.001000","7.943000"," 0.0060000","4.10","6.98"," 9.60"," 19.60","1","FALSE"
"R-04-R","R","Dec","River","11-Dec-19"," 25.74"," 3.41"," 0.000000","0.960000"," 0.0220000",NA,"6.70"," 0.20"," 88.60","1","FALSE"
"R-04-S-00-bac","R","Dec","Soil","11-Dec-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","FALSE"
"R-05-gw","R","Jan","Groundwater","14-Jan-20"," 65.10"," 1.20"," 0.000000","5.845000"," 0.0010000","6.40","6.79"," 8.00","  3.12","2","FALSE"
"R-05-R","R","Jan","River","14-Jan-20"," 13.50"," 3.00"," 0.001000","0.572000"," 0.0050000",NA,"7.01"," 0.20"," 88.30","2","FALSE"
"R-05-sn","R","Jan","Snow","14-Jan-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","FALSE"
"R-06-gw","R","Feb","Groundwater","13-Feb-20"," 68.20"," 1.80"," 0.000000","4.179000"," 0.0000000","3.73","7.03"," 7.70","  3.70","2","FALSE"
"R-06-sn","R","Feb","Snow","13-Feb-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","FALSE"
"R-07-gw","R","Mar","Groundwater","16-Mar-20","107.50"," 1.20"," 0.044600","6.694630"," 0.0100000","3.30","7.03"," 6.20"," 30.50","2","FALSE"
"R-07-sn","R","Mar","Snow","16-Mar-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","FALSE"
"R-08-gw","R","Apr","Groundwater","15-Apr-20"," 58.50"," 0.20","-0.001000","4.736000"," 0.0200000","2.75","6.98"," 5.30"," 45.70","2","FALSE"
"R-08-R","R","Apr","River","15-Apr-20"," 16.00"," 2.80"," 0.000000","0.647000"," 0.0100000",NA,"7.26"," 4.50"," 95.70","2","FALSE"
"R-08-S-00-bac","R","Apr","Soil","15-Apr-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","FALSE"
"R-09-gw","R","May","Groundwater","18-May-20"," 65.40"," 0.50","-0.001000","6.194000"," 0.0100000","3.50","6.84"," 7.00"," 18.50","2","FALSE"
"R-09-R","R","May","River","18-May-20"," 26.10"," 2.20"," 0.003000","0.615000"," 0.0200000",NA,"7.40","11.30","104.70","2","FALSE"
"R-09-S-00-bac","R","May","Soil","18-May-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","FALSE"
