Missing data,#e1e1e1
Unknown,gray80
Sep. groundwater,royalblue4
Oct. groundwater,steelblue4
Nov. groundwater,darkcyan
Dec. groundwater,#688E83
Jan. groundwater,#74DDAE
Feb. groundwater,#72B3DA
Mar. groundwater,lightblue
Apr. groundwater,slategray3
May. groundwater,#8494DC
June. groundwater,#7A6CD6
July. groundwater,dodgerblue
Nov. snow,#D98CD5
Jan. snow,#B442E7
Feb. snow,#D65594
Mar. snow,#E39EA8
Sep. river,#99CC99
Oct. river,#86A35D
Nov. river,#728C00
Dec. river,#437C17
Jan. river,springgreen4
Mar. River,#0A4602
Apr. river,yellowgreen
May. river,#BDE488
June. river,#DAEE01
July. river,#82E644
Sep. discharge-forest,#B21807
Sep. discharge-river-B,#EB5406
Oct. discharge-forest,burlywood4
Oct. discharge-river-B,#806517
Nov. discharge-river-B,#43302E
Dec. discharge-river-B,#A0522D
Apr. discharge-forest,#E5CE65
Apr. discharge-river-B,#E4954E
Apr. discharge-river,#686868
May. discharge-river,#b72c61
May. discharge-forest,#f6ad92
June. Discharge-river,#000000
