Unknown,gray80
Sep. groundwater,royalblue4
Oct. groundwater,steelblue4
Nov. groundwater,darkcyan
Dec. groundwater,#688E83
Jan. groundwater,#74DDAE
Feb. groundwater,#72B3DA
Mar. groundwater,lightblue
Apr. groundwater,slategray3
May. groundwater,#8494DC
June. groundwater,#7A6CD6
July. groundwater,dodgerblue
Sep. soil,#B21807
Oct. soil,#EB5406
Nov. soil,burlywood4
Dec. soil,#806517
Apr. soil,#43302E
May. soil,#A0522D
June. soil,#E5CE65
July. soil,#E4954E
Nov. snow,#D98CD5
Jan. snow,#B442E7
Feb. snow,#D65594
Mar. snow,#E39EA8
Sep. river,#99CC99
Oct. river,#86A35D
Nov. river,#728C00
Dec. river,#437C17
Jan. river,springgreen4
Apr. river,yellowgreen
May. river,#BDE488
June. river,#DAEE01
July. river,#82E644
